rainfall,soil_moisture,humidity,temperature,slope,landslide
100,51,79,29.1,37,0
23,63,55,41.4,37,0
86,83,61,33.4,18,0
77,18,91,38.2,28,0
91,90,83,26.6,28,1
111,81,68,31.0,11,0
24,56,57,42.0,31,0
110,65,72,26.3,35,1
30,50,71,36.1,6,0
68,86,86,32.2,12,0
81,74,74,25.7,37,1
105,27,95,24.2,37,0
39,24,61,36.2,20,0
46,57,64,36.3,30,0
104,59,77,33.4,38,0
137,65,96,16.3,12,0
92,44,66,32.4,31,0
56,81,95,26.3,29,0
34,30,84,33.3,18,0
83,76,55,36.0,22,0
52,28,73,34.3,18,0
97,82,58,28.6,17,0
75,35,72,29.9,25,0
134,40,78,25.8,42,0
144,53,56,24.5,37,0
147,87,71,21.2,41,1
125,74,63,24.5,33,1
138,81,82,21.4,13,0
56,26,71,39.3,19,0
120,67,93,25.0,16,0
95,55,69,24.8,35,0
78,53,57,34.1,31,0
66,21,58,33.1,40,0
65,82,91,32.0,38,0
98,29,79,26.0,40,0
50,84,78,33.3,36,0
102,50,60,31.7,9,0
33,72,68,39.2,33,0
90,68,80,25.7,23,0
130,84,63,26.0,6,0
102,36,85,25.4,23,0
58,51,72,31.9,31,0
39,43,97,36.3,5,0
62,76,65,35.2,26,0
57,81,68,31.1,12,0
145,54,71,26.2,25,0
52,18,70,39.9,23,0
48,77,57,39.6,13,0
107,35,83,22.6,21,0
135,30,59,25.6,5,0
122,39,86,27.4,33,0
24,88,72,35.6,8,0
38,90,98,33.0,8,0
37,40,76,37.3,21,0
63,38,89,28.1,28,0
109,38,67,28.4,11,0
135,58,71,16.9,41,0
97,48,90,23.9,24,0
34,57,65,36.7,15,0
57,16,86,28.4,30,0
118,28,91,28.0,8,0
52,68,55,33.3,24,0
87,53,93,26.0,14,0
148,53,77,23.0,36,0
70,18,81,34.5,32,0
57,49,76,29.5,10,0
146,26,65,27.6,9,0
97,60,68,29.8,31,0
39,74,75,32.8,21,0
132,40,91,23.5,14,0
61,55,55,36.3,38,0
132,75,88,18.3,42,1
46,53,66,36.0,7,0
85,72,63,30.9,25,0
83,30,96,27.4,21,0
103,43,59,32.1,28,0
88,65,80,32.9,13,0
93,18,71,26.7,8,0
89,82,69,35.9,13,0
101,66,89,21.3,24,0
141,23,81,22.4,7,0
127,31,98,23.3,27,0
49,49,85,33.3,36,0
142,89,83,17.9,26,1
106,84,62,26.1,34,1
120,65,57,27.6,5,0
114,46,83,24.1,31,0
90,39,63,33.4,8,0
134,26,88,23.4,9,0
46,51,97,29.4,19,0
145,25,91,23.1,20,0
60,47,97,30.3,26,0
22,18,60,41.5,28,0
48,29,67,37.0,13,0
57,78,81,30.2,38,0
136,87,98,16.4,37,1
145,88,84,20.8,26,1
41,26,59,39.0,9,0
99,68,89,23.3,29,1
102,52,82,27.4,41,0
99,27,83,30.5,12,0
31,36,98,31.2,5,0
32,16,60,39.7,9,0
89,62,79,28.5,14,0
118,69,93,20.1,31,1
79,56,77,33.2,28,0
133,88,92,21.1,42,1
54,31,63,37.4,16,0
148,49,55,29.2,35,0
107,51,84,26.3,39,0
28,16,55,41.2,22,0
100,33,63,29.4,9,0
101,30,60,31.3,8,0
128,49,58,27.5,16,0
59,34,76,33.1,16,0
138,90,92,20.0,42,1
48,55,87,30.4,41,0
49,27,70,40.1,18,0
46,64,58,34.5,27,0
45,50,91,29.1,18,0
27,28,55,42.0,13,0
35,17,56,40.6,12,0
88,34,65,32.8,6,0
75,85,92,30.2,42,0
73,46,78,30.9,19,0
77,44,69,29.6,18,0
67,36,70,33.0,23,0
90,73,84,23.4,33,1
150,32,88,23.2,23,0
34,21,68,36.5,14,0
75,20,70,29.9,5,0
99,73,92,22.1,31,1
87,36,61,33.0,5,0
44,19,58,35.9,15,0
52,30,70,32.5,19,0
116,39,79,26.6,33,0
94,73,97,23.3,31,1
94,60,89,25.7,13,0
68,31,79,30.2,21,0
143,72,91,18.7,27,1
112,74,98,16.9,36,1
133,75,98,14.6,35,1
29,65,55,37.6,36,0
67,46,75,31.6,19,0
51,32,72,35.1,10,0
137,88,98,21.4,42,1
137,24,90,24.1,20,0
141,90,84,19.0,30,1
79,53,77,30.4,22,0
46,31,71,32.6,13,0
63,33,72,33.0,19,0
92,60,93,25.8,26,0
65,57,88,31.2,24,0
27,27,60,36.8,10,0
37,24,67,38.0,8,0
37,46,71,39.9,5,0
94,64,86,24.1,26,1
63,43,94,30.7,24,0
127,45,85,25.5,12,0
77,50,76,29.8,21,0
97,53,87,27.5,27,0
116,86,84,22.2,33,1
102,72,86,23.7,28,1
103,77,88,24.1,5,0
78,59,76,30.8,22,0
44,62,85,34.4,29,0
39,19,69,39.8,14,0
128,78,96,21.4,39,1
83,71,60,38.0,22,0
69,23,58,32.5,40,0
80,57,84,31.4,22,0
86,52,81,29.5,26,0
146,90,98,22.2,41,1
52,43,74,31.9,14,0
34,24,90,31.5,17,0
53,32,66,33.5,13,0
77,25,63,27.5,29,0
107,85,69,27.2,13,0
110,62,98,21.9,18,0
150,80,78,19.6,40,1
101,54,70,29.9,32,0
58,60,79,37.2,40,0
60,38,95,32.2,32,0
47,37,63,34.7,14,0
118,72,88,19.1,33,1
44,24,68,37.0,16,0
125,42,55,25.3,22,0
65,15,92,34.3,32,0
121,22,55,32.0,41,0
142,50,67,23.7,16,0
90,28,96,22.0,15,0
93,78,72,33.0,17,0
130,73,89,19.6,39,1
41,32,69,39.0,17,0
142,90,96,13.5,42,1
35,44,60,36.5,9,0
62,61,61,34.8,20,0
24,19,57,39.8,7,0
60,32,71,32.4,15,0
37,15,61,39.2,5,0
103,52,84,24.0,30,0
141,48,74,23.5,24,0
110,66,94,21.7,27,1
79,47,59,34.5,32,0
139,81,97,19.4,41,1
113,69,90,21.8,19,0
68,45,72,28.6,20,0
103,29,92,28.6,34,0
128,63,81,25.1,18,0
29,30,63,36.3,38,0
83,59,85,32.7,25,0
129,15,91,23.0,15,0
132,16,75,27.7,42,0
117,75,90,21.3,35,1
84,59,81,34.4,28,0
26,15,61,42.0,6,0
45,87,95,30.9,7,0
50,35,68,37.5,12,0
84,66,77,31.5,14,0
97,64,86,27.5,27,1
96,43,80,25.7,19,0
50,57,60,38.0,8,0
34,15,55,41.5,9,0
121,74,64,23.3,9,0
76,59,78,27.7,30,0
146,64,98,14.6,16,0
77,80,75,30.3,34,0
20,86,76,39.1,7,0
30,20,56,42.0,13,0
88,71,92,24.3,33,1
120,87,89,25.1,36,1
60,26,73,29.7,15,0
132,81,78,20.0,10,0
141,86,97,17.3,37,1
60,51,74,34.0,35,0
44,15,60,36.9,10,0
42,29,74,29.9,11,0
96,22,85,27.1,38,0
60,26,67,30.8,21,0
107,83,96,26.1,12,0
58,79,90,31.8,40,0
37,16,61,35.3,6,0
59,47,76,31.6,15,0
136,55,91,19.2,35,0
88,82,61,31.7,18,0
100,85,78,27.3,37,1
87,67,89,22.3,39,1
124,67,96,20.7,31,1
60,34,70,32.3,19,0
41,20,62,35.0,9,0
95,69,92,26.1,8,0
150,53,71,20.7,36,0
101,25,67,28.1,11,0
64,61,83,28.2,26,0
39,75,59,42.0,38,0
41,47,98,31.6,5,0
59,53,81,30.3,23,0
138,21,90,22.3,12,0
118,75,87,21.2,38,1
132,78,62,26.2,10,0
41,27,59,39.0,5,0
74,44,71,33.8,16,0
85,41,79,28.1,20,0
46,37,78,32.6,14,0
128,70,72,25.0,24,0
97,47,56,25.8,6,0
51,47,69,31.0,14,0
92,62,88,27.7,40,1
30,30,60,42.0,11,0
90,42,58,31.5,5,0
132,26,95,23.2,29,0
110,82,62,30.0,13,0
20,70,55,42.0,36,0
119,16,58,31.6,37,0
46,15,74,34.3,19,0
121,20,96,20.4,26,0
86,66,79,22.3,26,1
47,59,98,31.4,19,0
72,45,81,28.7,22,0
114,45,62,25.2,19,0
50,80,55,35.4,15,0
125,81,93,17.1,42,1
135,35,82,27.6,41,0
41,32,87,35.4,17,0
79,36,76,30.6,27,0
101,77,93,26.2,32,1
126,79,96,19.4,42,1
109,41,88,23.2,21,0
113,74,96,27.5,18,0
69,57,77,32.9,27,0
65,38,78,29.3,20,0
139,74,82,22.4,13,0
89,61,95,21.4,28,1
36,30,65,33.7,12,0
45,31,73,37.2,15,0
36,18,66,41.7,5,0
29,22,66,34.3,7,0
94,64,93,24.7,32,1
78,48,77,28.9,27,0
30,90,98,31.6,9,0
99,68,83,25.8,24,0
120,47,84,22.6,27,0
139,69,92,18.5,28,1
70,69,76,29.5,36,0
103,69,86,24.0,33,1
107,54,83,26.2,35,0
63,24,71,32.6,22,0
71,33,66,30.7,7,0
73,48,79,29.4,21,0
53,24,63,37.4,11,0
146,86,98,17.9,38,1
100,46,79,25.3,38,0
66,31,87,30.6,28,0
117,79,64,30.0,14,0
111,69,93,17.2,31,1
99,61,89,24.7,28,1
96,50,89,25.0,20,0
123,83,98,20.7,33,1
47,43,69,33.4,20,0
63,48,74,28.2,22,0
95,77,55,27.9,16,0
107,78,94,21.8,38,1
42,83,80,34.8,26,0
70,47,75,29.5,19,0
131,74,88,21.5,36,1
28,57,63,34.2,16,0
94,87,92,23.3,30,1
147,90,58,22.6,8,0
73,42,81,28.9,21,0
114,85,73,27.2,13,0
20,60,77,35.0,10,0
50,30,64,34.7,6,0
33,15,58,41.0,18,0
39,22,58,36.4,15,0
77,61,66,34.4,19,0
56,49,63,32.3,5,0
125,80,98,20.4,36,1
57,34,79,36.2,21,0
150,27,95,13.5,21,0
130,88,98,16.5,38,1
128,15,55,29.7,40,0
61,39,69,33.2,17,0
57,60,86,32.5,41,0
20,90,78,35.4,7,0
74,27,56,34.4,30,0
98,82,93,22.5,30,1
134,25,93,24.7,26,0
64,45,79,32.5,20,0
60,34,65,35.3,19,0
95,67,91,22.5,27,1
116,80,96,19.2,37,1
29,23,62,37.3,9,0
71,76,95,29.6,40,0
41,26,61,36.1,11,0
39,55,62,38.0,13,0
148,69,89,23.0,31,1
55,47,98,32.1,21,0
129,77,98,17.8,40,1
47,90,81,36.5,36,0
91,52,95,25.3,13,0
137,38,90,16.8,17,0
64,48,75,29.9,21,0
42,49,64,31.9,5,0
135,21,93,20.8,13,0
54,37,71,34.2,22,0
38,16,57,42.0,12,0
53,23,70,35.3,19,0
34,73,62,37.3,33,0
85,48,84,30.8,20,0
126,77,98,13.4,40,1
25,21,57,40.2,7,0
116,43,83,27.3,18,0
63,38,68,29.9,18,0
66,55,71,35.7,7,0
45,28,91,33.0,24,0
139,55,71,23.5,21,0
57,36,64,36.5,11,0
50,33,71,40.3,11,0
62,46,83,31.9,40,0
97,67,91,23.9,37,1
145,25,65,23.7,6,0
133,85,98,16.0,36,1
107,33,91,27.2,21,0
106,86,81,21.6,30,1
69,54,75,32.1,25,0
75,43,76,29.9,23,0
90,62,83,29.5,25,0
61,53,58,36.2,16,0
41,39,93,34.9,24,0
33,15,58,37.2,6,0
59,37,73,32.6,19,0
107,56,82,24.1,41,0
71,55,78,30.1,20,0
90,71,91,25.0,26,1
107,73,95,23.4,33,1
50,63,68,32.8,35,0
95,38,98,27.6,19,0
72,67,59,37.4,18,0
42,31,71,36.6,19,0
93,51,85,32.3,37,0
55,30,71,32.1,16,0
97,81,86,20.9,36,1
101,69,94,20.9,21,0
53,31,75,37.4,14,0
98,70,91,27.8,5,0
81,90,89,25.3,29,1
66,15,65,34.4,39,0
150,62,71,20.5,7,0
101,82,91,28.9,31,1
53,48,98,30.5,17,0
81,34,65,32.3,6,0
75,51,78,32.6,28,0
93,23,86,28.7,28,0
63,75,97,29.8,27,0
20,53,61,37.6,32,0
20,55,55,41.6,33,0
65,16,90,34.8,29,0
134,56,75,27.9,26,0
23,90,55,42.0,42,0
115,86,94,19.5,40,1
115,81,97,17.9,36,1
104,64,89,22.5,29,1
104,70,84,23.7,28,1
123,51,80,27.7,29,0
111,79,74,23.0,9,0
135,47,96,25.1,42,0
128,87,93,19.1,36,1
79,67,88,27.7,31,0
23,25,56,37.4,8,0
99,51,84,23.0,26,0
101,71,91,24.9,33,1
114,29,86,25.3,39,0
57,52,82,28.9,8,0
83,82,76,23.9,33,1
123,86,94,19.1,33,1
70,52,74,36.1,25,0
23,90,74,36.6,12,0
70,77,66,29.4,22,0
91,34,82,27.7,40,0
58,69,60,34.7,16,0
128,66,98,15.0,12,0
74,50,72,31.6,20,0
116,64,93,20.3,34,1
93,72,98,24.4,30,1
33,51,94,37.7,9,0
49,61,57,39.7,32,0
75,48,80,29.8,21,0
74,53,82,27.5,24,0
100,69,93,29.1,34,1
98,52,74,28.9,41,0
50,53,89,31.9,27,0
49,84,69,35.0,12,0
42,29,68,36.5,13,0
89,68,95,23.2,33,1
148,90,98,15.0,42,1
60,47,78,31.1,26,0
33,25,58,38.4,5,0
55,26,68,33.2,9,0
83,52,75,28.5,27,0
57,30,65,35.0,18,0
95,61,87,26.5,20,0
61,42,70,37.3,16,0
33,31,66,30.7,10,0
35,23,65,40.0,9,0
92,71,96,26.2,38,1
110,77,87,17.2,29,1
35,87,61,37.0,38,0
55,18,73,32.8,5,0
40,32,66,33.0,11,0
133,43,81,21.8,41,0
110,71,91,19.0,34,1
52,49,67,39.4,9,0
31,32,62,40.5,24,0
48,19,58,40.0,15,0
42,19,56,39.6,10,0
71,73,82,27.8,41,0
85,67,91,23.3,35,1
20,69,59,41.1,37,0
47,49,96,28.1,30,0
78,58,87,30.8,23,0
62,49,70,32.8,22,0
28,62,64,37.2,17,0
109,20,83,27.9,15,0
86,63,91,25.6,31,1
105,68,96,20.7,37,1
99,40,57,34.1,5,0
46,28,73,32.1,11,0
143,78,94,19.2,39,1
109,67,88,23.9,30,1
128,43,93,21.7,40,0
44,24,63,37.3,10,0
121,78,92,17.3,35,1
105,70,87,25.3,31,1
146,24,55,25.7,39,0
65,44,68,32.1,17,0
56,82,59,38.4,30,0
132,90,70,23.8,24,0
53,27,71,30.8,17,0
91,70,88,20.5,27,1
145,86,97,18.5,41,1
93,77,87,21.1,30,1
72,16,70,36.7,42,0
72,75,89,24.2,38,0
115,56,62,32.9,21,0
94,37,86,27.9,21,0
38,30,63,37.0,10,0
107,72,95,20.2,36,1
26,25,60,40.0,10,0
136,27,55,27.2,9,0
29,15,62,41.1,24,0
31,16,64,38.1,9,0
28,18,55,39.9,8,0
116,81,79,25.0,23,0
139,80,91,18.4,38,1
127,17,63,27.9,18,0
26,16,61,34.6,6,0
40,30,83,30.6,18,0
36,25,61,39.6,8,0
56,30,76,33.6,13,0
111,83,97,20.3,29,1
94,90,86,24.4,42,1
146,76,92,18.5,31,1
55,42,69,33.0,19,0
65,32,87,28.6,26,0
88,85,61,32.3,16,0
82,76,85,26.4,24,0
140,84,97,18.5,42,1
112,82,92,17.2,34,1
87,69,79,31.8,10,0
49,75,66,36.7,10,0
97,49,98,25.9,16,0
87,52,84,30.9,31,0
52,34,66,39.3,16,0
51,46,85,34.9,25,0
133,77,98,13.6,39,1
104,66,93,19.0,35,1
70,43,72,30.7,21,0
23,27,58,39.7,41,0
52,24,65,36.6,13,0
62,25,73,31.2,22,0
54,28,72,34.5,18,0
42,54,67,34.3,18,0
130,61,55,26.5,6,0
126,90,62,23.9,5,0
30,27,60,36.2,7,0
80,57,75,27.3,23,0
128,43,71,23.4,20,0
75,50,82,32.8,20,0
60,56,72,31.0,10,0
89,60,75,36.2,37,0
145,68,97,18.2,35,1
66,39,73,33.0,21,0
117,15,58,26.9,39,0
41,20,56,39.7,7,0
107,74,95,23.1,7,0
65,24,82,31.6,31,0
20,90,56,42.0,36,0
116,80,91,20.9,38,1
38,17,60,40.5,11,0
38,25,60,35.9,14,0
45,83,80,33.7,34,0
45,30,63,40.8,9,0
92,79,62,29.7,19,0
131,37,87,27.6,35,0
35,41,95,34.5,5,0
150,23,64,23.0,10,0
118,79,94,22.0,34,1
150,25,83,23.9,32,0
29,31,87,36.1,15,0
63,45,73,28.9,18,0
121,83,93,18.4,33,1
63,34,73,32.2,16,0
65,52,79,31.5,19,0
35,16,57,40.0,10,0
65,61,83,31.6,40,0
93,89,65,27.3,10,0
54,50,70,35.3,10,0
116,87,97,21.8,40,1
70,18,97,29.8,32,0
119,82,95,25.9,23,0
85,35,58,34.7,5,0
25,28,55,41.0,7,0
102,71,83,23.8,27,1
30,77,77,31.8,21,0
68,47,74,33.2,21,0
124,36,98,22.7,42,0
52,23,70,35.2,10,0
57,80,74,30.2,14,0
121,81,72,23.8,13,0
50,18,64,38.3,15,0
131,90,64,26.4,7,0
82,45,67,33.3,9,0
64,53,73,32.8,12,0
27,35,60,39.0,40,0
48,32,68,37.7,11,0
88,41,85,26.9,27,0
119,81,85,21.9,34,1
50,26,58,35.4,10,0
85,62,95,22.9,38,1
55,56,76,32.5,28,0
20,22,55,41.0,5,0
137,15,88,21.0,14,0
123,61,58,31.5,5,0
133,83,97,16.1,42,1
115,71,93,20.5,37,1
114,75,95,19.7,32,1
80,33,63,36.1,5,0
63,54,77,32.7,25,0
67,50,82,33.6,20,0
55,58,70,30.5,26,0
94,53,71,30.3,39,0
121,74,98,21.7,36,1
54,25,70,34.5,10,0
25,24,60,41.8,10,0
97,57,66,28.8,6,0
115,82,92,24.6,34,1
55,58,95,36.2,35,0
94,30,64,29.8,10,0
46,24,66,34.7,11,0
47,35,70,38.8,13,0
56,40,55,40.3,12,0
56,27,68,33.1,13,0
95,72,91,22.5,34,1
83,69,62,31.6,23,0
132,21,94,18.5,5,0
59,55,71,31.3,12,0
121,75,69,24.4,14,0
65,35,73,30.7,18,0
93,48,79,28.5,29,0
87,61,89,25.3,32,1
24,26,56,42.0,9,0
52,18,65,32.8,24,0
110,77,98,23.2,40,1
94,56,91,26.1,27,0
76,15,69,31.9,38,0
86,52,94,28.8,15,0
25,32,58,36.6,35,0
47,33,74,35.5,11,0
22,16,55,40.6,5,0
67,50,68,34.4,17,0
46,32,72,35.7,18,0
129,68,78,30.8,17,0
136,34,81,21.8,38,0
37,26,60,36.4,11,0
143,32,85,20.4,31,0
124,79,92,18.7,36,1
73,41,77,29.5,22,0
75,50,78,33.7,23,0
50,34,75,37.6,12,0
136,83,98,16.4,41,1
79,60,81,27.8,24,0
131,30,93,23.3,30,0
98,67,84,22.9,32,1
90,90,88,26.1,28,1
121,88,98,20.0,36,1
103,38,55,27.3,31,0
145,90,96,21.0,42,1
118,15,55,33.9,37,0
56,41,78,31.4,19,0
150,32,85,20.2,17,0
73,48,82,31.1,27,0
104,52,68,29.8,32,0
92,56,96,27.7,18,0
54,30,70,39.4,17,0
85,74,93,23.9,30,1
31,23,65,35.7,10,0
52,54,58,32.9,40,0
88,15,68,29.0,9,0
103,28,90,25.7,24,0
20,61,61,42.0,40,0
85,48,76,28.6,21,0
105,84,92,22.8,30,1
28,25,65,38.0,7,0
101,59,83,30.0,22,0
78,68,81,36.3,23,0
80,48,56,32.2,31,0
41,31,65,35.3,12,0
123,80,98,21.9,38,1
25,15,63,40.4,10,0
65,15,82,35.9,31,0
89,39,67,32.3,29,0
37,27,63,36.4,9,0
55,29,67,36.1,9,0
68,55,77,34.5,20,0
76,66,90,30.9,30,0
147,28,93,21.6,22,0
145,63,84,21.6,34,1
59,32,74,36.1,20,0
100,57,88,29.9,27,0
108,36,93,26.4,42,0
102,62,87,25.9,12,0
145,88,97,17.3,42,1
114,35,87,28.0,21,0
56,43,77,31.0,23,0
39,33,62,38.2,16,0
133,66,95,17.6,30,1
40,16,58,37.8,11,0
76,47,61,36.4,35,0
96,35,88,27.3,25,0
120,77,93,20.5,34,1
137,90,98,14.3,42,1
65,79,86,32.5,16,0
133,24,62,28.2,16,0
111,82,97,26.2,32,1
32,82,60,37.6,41,0
84,70,94,24.8,26,1
99,29,83,27.9,25,0
48,40,69,39.1,11,0
91,84,61,31.3,24,0
99,63,84,24.8,27,1
146,30,89,22.6,22,0
86,25,85,28.9,26,0
94,59,76,27.8,28,0
43,90,97,32.0,5,0
56,50,74,36.2,13,0
26,71,64,35.8,33,0
78,75,82,30.1,40,0
41,33,63,35.1,15,0
24,61,65,41.5,42,0
57,50,89,27.3,41,0
50,33,69,33.5,14,0
115,51,74,27.8,20,0
89,80,63,35.3,22,0
50,38,71,34.5,17,0
150,86,83,17.1,29,1
82,69,74,35.3,25,0
137,87,98,14.1,40,1
121,32,98,17.0,38,0
36,56,62,38.7,30,0
72,76,65,31.8,28,0
117,62,95,20.9,15,0
92,34,98,27.6,18,0
105,70,90,23.1,27,1
104,69,95,20.5,29,1
55,24,67,31.5,23,0
69,42,78,33.6,21,0
42,25,68,37.6,23,0
28,51,84,34.9,6,0
54,88,72,38.6,13,0
96,63,87,24.3,21,0
22,85,76,33.2,9,0
40,24,68,34.5,11,0
22,21,58,39.7,28,0
65,33,79,32.3,15,0
83,48,84,28.3,26,0
62,23,62,35.5,5,0
90,79,60,28.6,16,0
100,21,96,28.8,9,0
90,64,90,24.0,27,1
44,64,58,40.1,26,0
29,65,81,36.3,5,0
131,76,95,20.0,42,1
95,64,84,26.0,31,1
102,68,82,25.2,26,1
58,42,73,35.0,20,0
20,20,61,42.0,29,0
30,15,55,39.8,6,0
36,17,65,38.9,14,0
97,85,92,22.9,27,1
30,19,65,41.4,16,0
123,78,92,18.5,30,1
52,49,77,38.0,27,0
71,61,55,34.6,29,0
91,48,80,25.1,22,0
32,34,93,33.6,20,0
35,28,58,36.6,7,0
87,90,82,27.9,27,1
133,90,94,17.1,38,1
143,89,98,15.9,42,1
70,39,76,26.9,23,0
73,41,70,31.1,17,0
115,72,89,15.5,34,1
43,36,68,31.9,14,0
93,63,88,26.1,31,1
141,21,61,27.8,5,0
96,61,89,27.8,19,0
110,68,94,18.9,31,1
48,34,59,36.6,9,0
60,54,81,32.0,20,0
65,90,93,26.7,35,0
104,42,82,30.6,23,0
105,75,95,24.0,39,1
45,26,61,36.2,12,0
86,59,87,28.2,30,0
56,49,75,33.9,22,0
95,90,98,17.3,31,1
87,58,76,29.1,29,0
75,31,98,26.0,25,0
115,88,89,19.0,33,1
43,64,70,34.9,16,0
